src,tgt,tau,p_combined,weight_mean,weight_std,n_scenes,total_observations
obj_count,obj_count,2,0.0,0.8168914441331698,0.1259216750266089,167,167
ped_count,ped_count,2,0.0,0.8045919093864203,0.07963720014406825,3,3
min_distance_proxy,min_distance_proxy,1,0.0,0.7848842982833347,0.11925289534563373,1331,1331
min_distance_proxy,min_distance_proxy,2,0.0,0.7792883981063323,0.1856987449984513,271,271
q10_risk_speed,q10_risk_speed,1,0.0,0.7772584627832262,0.08642500452922118,1322,1322
q90_closing_rate,q90_closing_rate,1,0.0,0.7748998564385939,0.09007190684498584,1299,1299
obj_count,ped_count,1,2.2426505097428162e-14,0.7703116062478073,0.12247068418634416,2,2
q05_ttc_eff,q05_ttc_eff,1,0.0,0.760416357108329,0.09750876167312685,1248,1248
ped_count,q05_ttc_eff,2,1.1338152638984411e-11,0.7513794535456171,0.11667466679570865,2,2
q90_closing_rate,q90_closing_rate,2,0.0,0.7420557378050244,0.16183552149776215,165,165
obj_count,q05_ttc_eff,1,0.0,0.7278831404738079,0.16112916925327447,89,89
ego_speed,ego_speed,1,0.0,0.7277177886405218,0.09943256438502683,1107,1107
q10_risk_speed,min_distance_proxy,1,0.0,0.7242803222502436,0.1642541450821571,89,89
q05_ttc_eff,min_distance_proxy,1,0.0,0.7148499569129272,0.15538873478513104,107,107
q90_closing_rate,obj_count,2,0.0,0.7118133896340475,0.1486113151203952,70,70
q90_closing_rate,obj_count,1,0.0,0.7070593176924421,0.1493725340098909,100,100
obj_count,obj_count,1,0.0,0.7062862502943111,0.09803344009232874,1153,1153
min_distance_proxy,obj_count,2,0.0,0.7031529761995218,0.14139156647036466,66,66
obj_count,min_distance_proxy,1,0.0,0.7017061909074106,0.15731873762422735,84,84
q05_ttc_eff,min_distance_proxy,2,0.0,0.7008122767904206,0.14192784726225585,105,105
obj_count,q90_closing_rate,2,0.0,0.7007444060867438,0.15620409046433073,85,85
q90_closing_rate,q05_ttc_eff,1,0.0,0.7006232926985895,0.14419510654098924,92,92
q10_risk_speed,min_distance_proxy,2,0.0,0.7001542573013511,0.15841941729845857,94,94
min_distance_proxy,q05_ttc_eff,1,0.0,0.6995488682423545,0.1487831556155592,69,69
q05_ttc_eff,q10_risk_speed,1,0.0,0.6975455864819001,0.1556209366858229,95,95
q10_risk_speed,q10_risk_speed,2,0.0,0.6961776940376938,0.1694396334977128,158,158
min_distance_proxy,q05_ttc_eff,2,0.0,0.6956914840100995,0.1381257996721852,69,69
min_distance_proxy,q10_risk_speed,2,0.0,0.6948229102068023,0.17307227229222963,73,73
obj_count,q90_closing_rate,1,0.0,0.6945655715593843,0.15307567621306079,140,140
ped_count,ped_count,1,0.0,0.693954144930642,0.08136304727553388,28,28
q05_ttc_eff,obj_count,1,0.0,0.6892632454014633,0.15262002857500545,68,68
min_distance_proxy,obj_count,1,0.0,0.6892329932771183,0.15277826739296127,83,83
q05_ttc_eff,q10_risk_speed,2,0.0,0.6884546364380695,0.1504661278905022,87,87
